Date,Open,High,Low,Close,Adj Close,Volume
2017-06-16,149.59,150.83,148.6,150.64,149.93,22882400.0
2017-06-19,151.71,153.57,151.71,152.87,152.15,19026500.0
2017-06-20,152.88,153.84,152.21,152.25,151.54,14743900.0
2017-06-21,152.36,154.08,151.88,153.91,153.19,15039800.0
2017-06-22,153.01,154.55,152.91,153.4,152.68,13005500.0
2017-06-23,152.72,155.2,152.65,155.07,154.34,18027000.0
2017-06-26,156.25,156.5,153.2,153.59,152.87,18049700.0
2017-06-27,152.84,153.31,150.39,150.58,149.87,19360800.0
2017-06-28,150.92,153.47,149.86,153.24,152.52,16719100.0
2017-06-29,152.28,152.5,148.92,151.04,150.33,23973500.0
2017-06-30,151.9,151.92,150.06,150.98,150.27,17666000.0
2017-07-03,151.72,152.15,147.8,148.43,147.73,13862700.0
2017-07-05,149.0,150.85,148.13,150.34,149.63,14334300.0
2017-07-06,149.03,150.04,148.0,148.82,148.12,14951800.0
2017-07-07,149.25,151.99,149.19,151.44,150.73,13615900.0
2017-07-10,151.69,153.98,151.51,153.5,152.78,13378700.0
2017-07-11,153.37,155.42,152.91,155.27,154.54,13667700.0
2017-07-12,156.49,159.16,156.2,158.9,158.15,22739400.0
2017-07-13,158.74,159.78,158.42,159.26,158.51,13929200.0
2017-07-14,160.13,160.32,159.33,159.97,159.22,16371200.0
2017-07-17,160.25,160.78,158.81,159.73,158.98,12858800.0
2017-07-18,159.66,163.73,159.42,162.86,162.1,23722900.0
2017-07-19,163.59,165.7,163.17,164.14,163.37,26273600.0
2017-07-20,164.8,165.0,162.81,164.53,163.76,18523100.0
2017-07-21,164.16,165.05,163.75,164.43,163.66,14744000.0
2017-07-24,164.64,166.17,164.31,166.0,165.22,17367000.0
2017-07-25,165.01,165.54,163.86,165.28,164.5,15383200.0
2017-07-26,166.01,166.01,164.1,165.61,164.83,35236900.0
2017-07-27,174.7,175.49,167.5,170.44,169.64,68910700.0
2017-07-28,169.07,173.43,169.05,172.45,171.64,24557600.0
2017-07-31,172.0,172.72,168.55,169.25,168.46,25478900.0
2017-08-01,169.82,170.47,169.05,169.86,169.06,14385000.0
2017-08-02,170.3,170.55,166.91,169.3,168.51,17433800.0
2017-08-03,169.3,169.7,168.25,168.59,167.8,10793800.0
2017-08-04,168.97,170.06,168.69,169.62,168.82,10777700.0
2017-08-07,169.95,172.06,169.66,171.98,171.17,12787800.0
2017-08-08,171.88,173.05,170.62,171.23,170.43,14393500.0
2017-08-09,169.98,171.45,169.56,171.18,170.38,10815000.0
2017-08-10,170.06,170.59,166.85,167.4,166.61,20832700.0
2017-08-11,167.95,168.82,166.85,168.08,167.29,13791200.0
2017-08-14,170.09,171.08,169.29,170.75,169.95,12954200.0
2017-08-15,171.49,171.5,170.01,171.0,170.2,8729200.0
2017-08-16,171.25,171.38,169.24,170.0,169.2,15779900.0
2017-08-17,169.34,169.86,166.85,166.91,166.13,17216000.0
2017-08-18,166.84,168.67,166.21,167.41,166.62,15093600.0
2017-08-21,167.16,168.0,165.82,167.78,166.99,11907500.0
2017-08-22,168.28,169.87,167.15,169.64,168.84,11391000.0
2017-08-23,168.84,169.36,168.2,168.71,167.92,9856500.0
2017-08-24,168.88,169.29,166.41,167.74,166.95,14030400.0
2017-08-25,167.86,168.38,166.18,166.32,165.54,12614500.0
2017-08-28,166.91,167.7,166.33,167.24,166.46,8553700.0
2017-08-29,165.25,168.43,165.0,168.05,167.26,11121000.0
2017-08-30,168.17,170.18,167.63,169.92,169.12,11138300.0
2017-08-31,170.4,172.15,170.06,171.97,171.16,17226500.0
2017-09-01,172.4,172.92,171.31,172.02,171.21,11677600.0
2017-09-05,171.27,172.39,169.55,170.72,169.92,13210900.0
2017-09-06,170.91,172.48,169.57,172.09,171.28,13906300.0
2017-09-07,171.94,173.31,170.27,173.21,172.4,18049500.0
2017-09-08,173.09,173.49,170.8,170.95,170.15,10998500.0
2017-09-11,172.4,173.89,172.2,173.51,172.7,12372000.0
2017-09-12,173.76,174.0,171.75,172.96,172.15,11186300.0
2017-09-13,173.01,173.17,172.06,173.05,172.24,9119300.0
2017-09-14,172.26,172.28,170.5,170.96,170.16,15615700.0
2017-09-15,170.88,172.34,170.26,171.64,170.83,15660500.0
2017-09-18,171.99,172.07,169.34,170.01,169.21,12954000.0
2017-09-19,170.62,172.56,170.36,172.52,171.71,13168600.0
2017-09-20,172.5,173.05,170.7,172.17,171.36,12264100.0
2017-09-21,171.69,172.27,170.01,171.11,170.31,11161400.0
2017-09-22,170.21,171.73,169.22,170.54,169.74,12097100.0
2017-09-25,169.24,169.3,161.56,162.87,162.11,41251600.0
2017-09-26,164.5,165.5,162.78,164.21,163.44,23363300.0
2017-09-27,165.9,168.34,165.57,167.68,166.89,19242500.0
2017-09-28,167.94,169.07,167.16,168.73,167.94,12178700.0
2017-09-29,168.83,171.66,168.81,170.87,170.07,15340400.0
2017-10-02,171.39,171.87,168.75,169.47,168.68,13392300.0
2017-10-03,169.3,170.73,169.2,169.96,169.16,8190300.0
2017-10-04,169.83,170.67,168.29,168.42,167.63,12127900.0
2017-10-05,169.18,171.31,168.6,171.24,170.44,14580600.0
2017-10-06,170.25,172.37,169.75,172.23,171.42,13124500.0
2017-10-09,172.7,174.88,172.0,172.5,171.69,14570400.0
2017-10-10,173.0,173.2,170.8,171.59,170.79,11341100.0
2017-10-11,171.95,172.78,171.4,172.74,171.93,11283700.0
2017-10-12,172.61,173.85,172.29,172.55,171.74,10351000.0
2017-10-13,173.45,174.65,173.2,173.74,172.93,13658300.0
2017-10-16,174.49,175.0,174.06,174.52,173.7,11498800.0
2017-10-17,174.71,176.13,174.36,176.11,175.28,15990100.0
2017-10-18,176.65,176.74,175.75,176.03,175.2,12752400.0
2017-10-19,174.93,176.03,172.63,174.56,173.74,14048400.0
2017-10-20,175.5,175.88,174.63,174.98,174.16,12602200.0
2017-10-23,175.2,175.34,171.25,171.27,170.47,13852700.0
2017-10-24,172.3,173.24,171.5,171.8,170.99,12267900.0
2017-10-25,171.9,172.25,168.89,170.6,169.8,15868200.0
2017-10-26,171.38,172.29,170.39,170.63,169.83,11833100.0
2017-10-27,174.15,178.21,173.9,177.88,177.05,30285300.0
2017-10-30,179.26,180.69,177.61,179.87,179.03,24353200.0
2017-10-31,180.57,180.8,178.94,180.06,179.22,20174200.0
2017-11-01,182.36,182.9,180.57,182.66,181.8,40918300.0
2017-11-02,180.63,181.94,177.34,178.92,178.08,35529900.0
2017-11-03,179.29,179.86,176.71,178.92,178.08,17822100.0
2017-11-06,178.56,180.45,178.31,180.17,179.32,13312700.0
2017-11-07,180.5,180.75,178.96,180.25,179.4,12928200.0
2017-11-08,179.79,180.35,179.11,179.56,178.72,10494100.0
2017-11-09,178.31,179.4,177.09,179.3,178.46,12610300.0
2017-11-10,178.35,179.1,177.96,178.46,177.62,11070200.0
2017-11-13,177.5,179.04,177.3,178.77,177.93,9523400.0
2017-11-14,178.13,178.97,177.18,178.07,177.23,9585900.0
2017-11-15,176.66,178.57,176.4,177.95,177.12,10253700.0
2017-11-16,178.76,179.83,178.5,179.59,178.75,15607600.0
2017-11-17,179.3,179.98,178.9,179.0,178.16,13018000.0
2017-11-20,178.87,179.5,178.1,178.74,177.9,10052400.0
2017-11-21,179.15,181.89,178.99,181.86,181.01,14504000.0
2017-11-22,181.3,181.73,180.44,180.87,180.02,10376300.0
2017-11-24,180.4,183.15,180.29,182.78,181.92,9426300.0
2017-11-27,182.56,183.73,181.99,183.03,182.17,12344500.0
2017-11-28,183.51,184.25,182.09,182.42,181.56,14379700.0
2017-11-29,181.89,181.97,174.0,175.13,174.31,41933500.0
2017-11-30,176.85,178.28,175.2,177.18,176.35,25307600.0
2017-12-01,176.03,177.48,172.34,175.1,174.28,20182500.0
2017-12-04,176.29,176.57,170.79,171.47,170.67,24459400.0
2017-12-05,170.45,175.38,169.01,172.83,172.02,20184900.0
2017-12-06,172.5,176.77,171.9,176.06,175.23,20255800.0
2017-12-07,175.8,180.39,175.8,180.14,179.29,20404500.0
2017-12-08,181.53,182.28,178.74,179.0,178.16,19883800.0
2017-12-11,179.3,180.22,178.8,179.04,178.2,13168600.0
2017-12-12,178.6,179.18,176.6,176.96,176.13,16854100.0
2017-12-13,177.3,179.16,177.25,178.3,177.46,14615700.0
2017-12-14,178.29,180.36,177.68,178.39,177.55,13591000.0
2017-12-15,179.02,180.49,178.36,180.18,179.33,28463100.0
2017-12-18,181.01,181.3,179.75,180.82,179.97,17265400.0
2017-12-19,179.95,180.08,178.22,179.51,178.67,14920600.0
2017-12-20,179.81,179.81,177.36,177.89,177.06,11860500.0
2017-12-21,177.94,178.68,177.05,177.45,176.62,11600700.0
2017-12-22,177.14,177.53,176.23,177.2,176.37,8509500.0
2017-12-26,176.63,177.0,174.67,175.99,175.16,8897300.0
